0,1,near_bus_stop,near_bus_stop_count,bus_at_each_stop,total_bus
127.08,35.88,"[[127.07572981, 35.87625094, '반월초교', 306101462], [127.0757897, 35.87566609, '반월초교', 306101450], [127.0772, 35.8846204, '구중리', 306101538], [127.0783473, 35.8771889, '명성아파트', 305032376], [127.08328641, 35.87607435, '여의역', 306101458], [127.08345759, 35.87599383, '여의역', 306101457], [127.0841438, 35.8756177, '동부대로여의역', 305032319]]",7,(구중리-306101538)-11대(여의역-306101458)-3대(동부대로여의역-305032319)-2대,16
127.14,35.84,"[[127.1369206, 35.83655958, '금암초교입구', 306100968], [127.1371527, 35.83642889, '금암시립도서관', 306100964], [127.13769274, 35.83806254, '금암중앙하이츠', 306100996], [127.13831493, 35.83893341, '금암중앙하이츠', 306101011], [127.13868959, 35.84124683, '배나무골', 306101033], [127.13992156, 35.84259848, '사대부고사거리', 306101046], [127.1401833, 35.8360061, '금암시립도서관', 305032587], [127.140333, 35.842591, '사대부고사거리', 305032581], [127.140352, 35.8359191, '금암시립도서관', 305032588], [127.1404603, 35.8425914, '사대부고사거리', 305032582], [127.14108421, 35.84346261, '사대부고사거리', 306101057], [127.1414516, 35.8400743, '강림교회', 305032583], [127.1415899, 35.8401063, '강림교회', 305032584], [127.1422854, 35.8381023, '금암2동주민센터', 305032585], [127.142391, 35.8380215, '금암2동주민센터', 305032586], [127.14277224, 35.843452, '전북대학병원입구', 306101056]]",16,(금암초교입구-306100968)-6대(금암시립도서관-306100964)-2대(금암시립도서관-305032587)-2대(사대부고사거리-306101057)-10대(전북대학병원입구-306101056)-7대,27
127.13,35.83,"[[127.12591932, 35.83487104, '가리내로 백제교', 306100946], [127.12608594, 35.82916245, '서신초교.아이파크이편한세상', 305100833], [127.12634262, 35.8289759, '서신초교.아이파크이편한세상', 305100828], [127.12722363, 35.8335539, '거성고속맨션.자원봉사센터.고속버스터미널입구', 306100909], [127.12760002, 35.83348524, '거성고속맨션.자원봉사센터.고속버스터미널입구', 306100907], [127.12854865, 35.82638557, '진북터널', 306100790], [127.12871095, 35.83022211, '서신교', 306100850], [127.12875355, 35.82664654, '진북터널', 306100796], [127.12894519, 35.83042842, '서신교', 306100853], [127.13009436, 35.8343029, '고속버스터미널.불교회관', 306100925], [127.13017706, 35.83188092, '숲정이성당', 306100870], [127.13045206, 35.83190592, '숲정이성당', 306100872], [127.13054921, 35.83390745, '고속버스터미널.불교회관', 306100918], [127.13069984, 35.8286869, '진북현대아파트', 306100821], [127.13091021, 35.82873738, '진북현대아파트', 306100823], [127.13260158, 35.83221319, '진북우성아파트후문', 306100882], [127.13260687, 35.83235206, '진북우성아파트후문', 306100887], [127.13292676, 35.82763312, '동국아파트', 306100812], [127.13327081, 35.82749939, '동국아파트', 306100808], [127.13328615, 35.83437333, '시외버스터미널', 306100927], [127.13353119, 35.83411679, '시외버스터미널', 306100922]]",21,(서신초교.아이파크이편한세상-305100833)-3대(서신초교.아이파크이편한세상-305100828)-2대(거성고속맨션.자원봉사센터.고속버스터미널입구-306100907)-3대(서신교-306100850)-3대(진북터널-306100796)-2대(고속버스터미널.불교회관-306100925)-6대(동국아파트-306100808)-1대(시외버스터미널-306100922)-8대,28
127.13,35.84,"[[127.12515768, 35.84250102, '전북대학교.농협앞', 306101044], [127.12519715, 35.84295672, '전북대학교.덕진성당앞', 306101051], [127.12520761, 35.83627383, '종합경기장', 306100961], [127.12706067, 35.84140298, '전북대학교.소나무한의원앞', 306101035], [127.1290611, 35.8356764, '고속버스터미널후문', 306100952], [127.12958796, 35.83569905, '고속버스터미널후문', 306100954], [127.1307982, 35.8436702, '삼성문화회관', 312302214], [127.1311667, 35.8384609, '전북일보사', 306101004], [127.13141174, 35.8379584, '국민은행금암지점', 306100993], [127.13143203, 35.84009301, '전북은행본점', 306101017], [127.13157897, 35.83746271, '수협도지회', 306100985], [127.13178496, 35.83728498, '수협도지회', 306100981], [127.13321366, 35.84113172, '전북대정문.덕진소방서', 306101027], [127.13363898, 35.83678745, '금암1동주민센터', 306100969], [127.13409664, 35.84088606, '전주덕진소방서', 306101020]]",15,(전북대학교.농협앞-306101044)-52대(종합경기장-306100961)-4대(전북대학교.소나무한의원앞-306101035)-56대(고속버스터미널후문-306100952)-2대(전북일보사-306101004)-26대(수협도지회-306100981)-1대,141
127.12,35.84,"[[127.11959615, 35.83993218, '한국건강관리협회', 306101016], [127.1204101, 35.84036684, '한국건강관리협회', 306101018], [127.12108885, 35.83689022, '경기장거성아파트', 306100973], [127.12143588, 35.83700157, '경기장거성아파트', 306100976], [127.12308347, 35.84310173, 'KT북전주지점', 306101053], [127.12318242, 35.84292878, 'KT북전주지점', 306101050], [127.12464075, 35.83650057, '종합경기장', 306100967], [127.12473323, 35.8428057, '전북대학교.한나여성병원앞', 306101049]]",8,(한국건강관리협회-306101018)-9대(경기장거성아파트-306100973)-8대(KT북전주지점-306101053)-2대(전북대학교.한나여성병원앞-306101049)-28대,47
127.08,35.87,"[[127.07591729, 35.8723613, '여의동우체국', 306101411], [127.07658384, 35.8714162, '여의동우체국전북은행', 306101407], [127.07686164, 35.87118379, '여의동전북은행.농협', 306101402], [127.07692636, 35.8709944, '여의동전북은행.농협', 306101400], [127.077388, 35.8692523, '조촌초교', 306101353], [127.0779079, 35.86812128, '조촌초교', 306101368], [127.08057177, 35.8650508, '전주공고', 306101326], [127.08067229, 35.86542536, '전주공고', 306101332], [127.08138291, 35.8734283, '여의우신아파트', 306101417], [127.08146851, 35.87328843, '여의우신아파트', 306101415], [127.083801, 35.8735951, '전북여자고등학교', 305032572], [127.0839675, 35.8735326, '전북여자고등학교', 305032571]]",12,(여의동전북은행.농협-306101402)-4대(여의동전북은행.농협-306101400)-1대,5
127.12,35.86,"[[127.11781497, 35.85863312, '송천동2파출소', 306101249], [127.11802905, 35.85863312, '송천2파출소', 306101250], [127.1188214, 35.8558785, '송천서호아파트', 305032465], [127.11982418, 35.85538448, '송천삼거리 롯데마트', 306101211], [127.11984346, 35.85668235, '송천삼거리', 306101229], [127.12077329, 35.85701397, '송천1동주민센터', 306101233], [127.1211436, 35.8605886, '전라고', 306101274], [127.12138472, 35.86493158, '송천동성원무지개아파트', 306101324], [127.12156208, 35.86055764, '전라고', 306101280], [127.12369476, 35.86363645, '송북초교', 306101307], [127.12372569, 35.8639091, '송북초교', 306101313]]",11,(송천동2파출소-306101249)-18대(송천2파출소-306101250)-16대(송천삼거리 롯데마트-306101211)-29대(송천동성원무지개아파트-306101324)-2대(송북초교-306101307)-19대,84
127.16,35.85,"[[127.155015, 35.847482, '백제대로한국전기안전공사', 306101092], [127.15561827, 35.85440409, '이편한세상 우아', 306101190], [127.15760015, 35.85455441, '기린중', 306101193], [127.1578906, 35.8483197, '전주역첫마중길', 306101094], [127.15818391, 35.85423569, '기린중', 306101186], [127.1588352, 35.8488499, '전주역첫마중길', 306101110], [127.160103, 35.85042866, '동부대로전주역', 306101130], [127.16063486, 35.84881087, '동부대로전주역', 306101103], [127.16109889, 35.84994976, '전주역종점', 306101123], [127.16291741, 35.84647497, '동부대로신기마을', 306101096]]",10,(백제대로한국전기안전공사-306101092)-34대(기린중-306101193)-6대(전주역첫마중길-306101094)-35대(기린중-306101186)-3대,78
127.15,35.84,"[[127.14535014, 35.84466416, '전북대학병원입구', 306101070], [127.1453592, 35.835357, '전주여자고등학교', 305032596], [127.1454363, 35.8354654, '전주여자고등학교', 305032595], [127.1455326, 35.8374447, '전일중학교', 305032598], [127.14566, 35.8374271, '전일중학교', 305032597], [127.1457041, 35.8399607, '인후2동주민센터', 305032600], [127.1458535, 35.8399927, '인후2동주민센터', 305032599], [127.14664986, 35.84463013, '동전주우체국', 306101069], [127.1472064, 35.8420298, '구숙사공원', 305032602], [127.1472735, 35.8418858, '구숙사공원', 305032601], [127.14759274, 35.83506423, '전주생명과학고등학교', 306100943], [127.14835046, 35.83502944, '전주생명과학고등학교', 306100940], [127.1504883, 35.844857, '성락타운', 305032605], [127.1506045, 35.8448889, '성락타운', 305032606], [127.15075133, 35.83782996, '동중학교', 306100992], [127.1509498, 35.8431498, '금성교회', 305032603], [127.1510224, 35.8430237, '금성교회', 305032604], [127.15116098, 35.83641443, '인후휴먼시아아파트', 306100965], [127.15118106, 35.83842578, '동중학교', 306100999], [127.15178569, 35.83623617, '인후휴먼시아아파트', 306100960], [127.15200998, 35.8426526, '인후위브어울림아파트', 306101048], [127.15251465, 35.84295257, '인후위브어울림아파트', 306101052], [127.15480906, 35.83654835, '안골', 306100966], [127.15489706, 35.84067342, '북일초교', 306101019]]",24,(전북대학병원입구-306101070)-17대(인후2동주민센터-305032600)-1대(동전주우체국-306101069)-16대(전주생명과학고등학교-306100943)-44대(전주생명과학고등학교-306100940)-42대(안골-306100966)-2대(북일초교-306101019)-2대,124
127.11,35.86,"[[127.11436691, 35.86366623, '송천대명아파트', 306101308], [127.11447243, 35.86004601, '천일강변아파트', 306101268], [127.11478688, 35.8630123, '송천대명아파트', 306101297], [127.11486422, 35.86059084, '용소마을제일아파트', 306102011]]",4,(송천대명아파트-306101297)-18대,18
