전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
월세,고랑동,여산로,1,1,1,1,1,1,1,1,1,1
월세,고랑동,쪽구름5길,1,1,1,1,1,1,1,1,1,1
월세,금암동,거북바우3길,1,1,1,1,1,1,1,1,0,1
월세,금암동,거북바우로,1,1,1,1,1,1,1,1,1,1
월세,금암동,건산로,1,1,1,1,1,1,1,1,0,1
월세,금암동,건지1길,2,2,2,2,2,2,2,2,2,2
월세,금암동,건지2길,3,3,3,3,3,3,3,3,2,3
월세,금암동,건지로,4,4,4,4,4,4,4,4,4,4
월세,금암동,권삼득로,39,39,39,39,39,39,39,39,31,39
월세,금암동,금암1길,7,7,7,7,7,7,7,7,5,7
월세,금암동,금암2길,5,5,5,5,5,5,5,5,4,5
월세,금암동,금암3길,15,15,15,15,15,15,15,15,15,15
월세,금암동,금암4길,8,8,8,8,8,8,8,8,7,8
월세,금암동,금암5길,14,14,14,14,14,14,14,14,9,14
월세,금암동,금암6길,4,4,4,4,4,4,4,4,3,4
월세,금암동,기린대로,24,24,24,24,24,24,24,24,15,24
월세,금암동,떡전1길,6,6,6,6,6,6,6,6,0,6
월세,금암동,떡전3길,7,7,7,7,7,7,7,7,7,7
월세,금암동,떡전4길,17,17,17,17,17,17,17,17,8,17
월세,금암동,떡전5길,2,2,2,2,2,2,2,2,2,2
월세,금암동,떡전로,6,6,6,6,6,6,6,6,6,6
월세,금암동,매봉11길,1,1,1,1,1,1,1,1,1,1
월세,금암동,매봉15길,2,2,2,2,2,2,2,2,2,2
월세,금암동,매봉16길,3,3,3,3,3,3,3,3,2,3
월세,금암동,매봉1길,18,18,18,18,18,18,18,18,18,18
월세,금암동,매봉2길,3,3,3,3,3,3,3,3,3,3
월세,금암동,매봉3길,2,2,2,2,2,2,2,2,2,2
월세,금암동,매봉4길,1,1,1,1,1,1,1,1,0,1
월세,금암동,매봉6길,5,5,5,5,5,5,5,5,4,5
월세,금암동,매봉7길,1,1,1,1,1,1,1,1,1,1
월세,금암동,매봉8길,2,2,2,2,2,2,2,2,1,2
월세,금암동,매봉로,1,1,1,1,1,1,1,1,1,1
월세,금암동,명륜1길,5,5,5,5,5,5,5,5,1,5
월세,금암동,명륜2길,2,2,2,2,2,2,2,2,2,2
월세,금암동,모래내1길,7,7,7,7,7,7,7,7,7,7
월세,금암동,모래내2길,1,1,1,1,1,1,1,1,1,1
월세,금암동,모래내3길,1,1,1,1,1,1,1,1,1,1
월세,금암동,모래내5길,1,1,1,1,1,1,1,1,1,1
월세,금암동,모래내8길,1,1,1,1,1,1,1,1,1,1
월세,금암동,백제대로,6,6,6,6,6,6,6,6,6,6
월세,금암동,삼송1길,8,8,8,8,8,8,8,8,8,8
월세,금암동,삼송2길,1,1,1,1,1,1,1,1,1,1
월세,금암동,삼송3길,2,2,2,2,2,2,2,2,2,2
월세,금암동,삼송5길,5,5,5,5,5,5,5,5,4,5
월세,금암동,용산1길,4,4,4,4,4,4,4,4,4,4
월세,금암동,용산3길,1,1,1,1,1,1,1,1,1,1
월세,금암동,전주천동로,1,1,1,1,1,1,1,1,1,1
월세,금암동,조경단로,6,6,6,6,6,6,6,6,6,6
월세,금암동,태진로,1,1,1,1,1,1,1,1,1,1
월세,금암동,팔달로,2,2,2,2,2,2,2,2,1,2
월세,덕진동1가,가리내로,1,1,1,1,1,1,1,1,0,1
월세,덕진동1가,권삼득로,3,3,3,3,3,3,3,3,2,3
월세,덕진동1가,기린대로,1,1,1,1,1,1,1,1,0,1
월세,덕진동1가,덕진광장로,2,2,2,2,2,2,2,2,2,2
월세,덕진동1가,덕진연못1길,3,3,3,3,3,3,3,3,3,3
월세,덕진동1가,들사평1길,10,10,10,10,10,10,10,10,7,10
월세,덕진동1가,들사평2길,13,13,13,13,13,13,13,13,13,13
월세,덕진동1가,들사평3길,15,15,15,15,15,15,15,15,14,15
월세,덕진동1가,들사평4길,12,12,12,12,12,12,12,12,12,12
월세,덕진동1가,들사평5길,4,4,4,4,4,4,4,4,3,4
월세,덕진동1가,들사평로,4,4,4,4,4,4,4,4,4,4
월세,덕진동1가,들사평서로,4,4,4,4,4,4,4,4,4,4
월세,덕진동1가,떡전1길,1,1,1,1,1,1,1,1,1,1
월세,덕진동1가,떡전2길,3,3,3,3,3,3,3,3,3,3
월세,덕진동1가,떡전로,2,2,2,2,2,2,2,2,1,2
월세,덕진동1가,명륜2길,3,3,3,3,3,3,3,3,3,3
월세,덕진동1가,명륜4길,1,1,1,1,1,1,1,1,1,1
월세,덕진동1가,명륜5길,2,2,2,2,2,2,2,2,1,2
월세,덕진동1가,사평1길,3,3,3,3,3,3,3,3,3,3
월세,덕진동1가,사평3길,4,4,4,4,4,4,4,4,3,4
