전월세구분,dong,도로명,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,loc,x,y,번지,번지.1,번지.1.1,번지.1.1.1,번지.1.1.1.1,번지.1.1.1.1.1,번지.1.1.1.1.1.1,번지
월세,고랑동,여산로,90.0,202012.0,4.0,12500.0,20.0,2013.0,전북 전주시 고랑동 여산로,127.084249626,35.873475859,1,1,1,1,1,1,1,1
월세,고랑동,쪽구름5길,33.0,202010.0,6.0,300.0,25.0,2014.0,전북 전주시 고랑동 쪽구름5길,127.07695085200001,35.876593435,1,1,1,1,1,1,1,1
월세,금암동,거북바우3길,58.59,202011.0,16.0,7000.0,15.0,,전북 전주시 금암동 거북바우3길,127.138519646,35.837836218,1,1,1,1,1,1,1,1
월세,금암동,거북바우로,70.31,202006.0,5.0,2500.0,15.0,1991.0,전북 전주시 금암동 거북바우로,127.143071245,35.838567039000004,1,1,1,1,1,1,1,1
월세,금암동,건산로,125.61,202103.0,1.0,1000.0,20.0,,전북 전주시 금암동 건산로,127.138352552,35.833160563,1,1,1,1,1,1,1,1
월세,금암동,건지1길,54.325,202010.5,10.5,1650.0,47.5,2015.5,전북 전주시 금암동 건지1길,127.140016885,35.843800342,2,2,2,2,2,2,2,2
월세,금암동,건지2길,26.59666667,202039.6667,19.33333333,2166.666667,19.33333333,2007.0,전북 전주시 금암동 건지2길,127.141427075,35.844227176,3,3,3,3,3,3,3,3
월세,금암동,건지로,30.35,202078.75,22.75,775.0,32.75,2013.75,전북 전주시 금암동 건지로,127.140425008,35.847715016,4,4,4,4,4,4,4,4
월세,금암동,권삼득로,33.48871795,202044.5128,15.1025641,1912.820513,28.53846154,2014.322581,전북 전주시 금암동 권삼득로,127.138785089,35.833575944,39,39,39,39,39,39,39,39
월세,금암동,금암1길,30.78142857,202049.5714,10.28571429,1600.0,31.42857143,2017.8,전북 전주시 금암동 금암1길,127.13377712399999,35.840070694,7,7,7,7,7,7,7,7
월세,금암동,금암2길,32.8,202101.6,17.8,400.0,39.0,2014.75,전북 전주시 금암동 금암2길,127.13431261,35.840350763000004,5,5,5,5,5,5,5,5
월세,금암동,금암3길,50.45466667,202076.6667,18.13333333,1386.666667,39.66666667,2011.266667,전북 전주시 금암동 금암3길,127.13792837,35.841436011999996,15,15,15,15,15,15,15,15
월세,금암동,금암4길,35.39625,202068.125,15.875,2262.5,31.625,2015.285714,전북 전주시 금암동 금암4길,127.129037668,35.837816116,8,8,8,8,8,8,8,8
월세,금암동,금암5길,33.80714286,202041.8571,21.21428571,1621.4285710000001,27.78571429,2012.2222219999999,전북 전주시 금암동 금암5길,127.13686151899999,35.83868234,14,14,14,14,14,14,14,14
월세,금암동,금암6길,34.415,202078.5,14.0,2575.0,31.25,2018.0,전북 전주시 금암동 금암6길,127.13573840299999,35.837914298,4,4,4,4,4,4,4,4
월세,금암동,기린대로,36.63625,202040.625,16.04166667,1454.583333,34.20833333,2012.2,전북 전주시 금암동 기린대로,127.13312199200001,35.837431476999996,24,24,24,24,24,24,24,24
월세,금암동,떡전1길,37.175,202055.1667,17.0,6250.0,10.5,,전북 전주시 금암동 떡전1길,127.127058222,35.835040950999996,6,6,6,6,6,6,6,6
월세,금암동,떡전3길,37.72857143,202022.8571,16.42857143,2085.714286,33.14285714,2017.0,전북 전주시 금암동 떡전3길,127.12791742700001,35.837564115,7,7,7,7,7,7,7,7
월세,금암동,떡전4길,34.64882353,202041.2353,15.17647059,2182.352941,27.94117647,2012.125,전북 전주시 금암동 떡전4길,127.129037668,35.837816116,17,17,17,17,17,17,17,17
월세,금암동,떡전5길,163.96,202008.5,15.5,6500.0,37.5,2012.0,전북 전주시 금암동 떡전5길,127.12999742,35.838612672,2,2,2,2,2,2,2,2
월세,금암동,떡전로,50.65833333,202024.3333,18.16666667,2616.666667,30.0,2006.0,전북 전주시 금암동 떡전로,127.12767110600001,35.835631446,6,6,6,6,6,6,6,6
월세,금암동,매봉11길,29.88,202012.0,9.0,300.0,17.0,1987.0,전북 전주시 금암동 매봉11길,127.142610789,35.840082279,1,1,1,1,1,1,1,1
월세,금암동,매봉15길,45.295,202056.5,15.5,200.0,26.5,2015.5,전북 전주시 금암동 매봉15길,127.14215059,35.838986452,2,2,2,2,2,2,2,2
월세,금암동,매봉16길,38.27666667,202072.0,17.66666667,1600.0,34.66666667,2015.0,전북 전주시 금암동 매봉16길,127.140849665,35.838477265,3,3,3,3,3,3,3,3
월세,금암동,매봉1길,29.16666667,202050.3889,16.77777778,777.7777778,32.83333333,2003.7777780000001,전북 전주시 금암동 매봉1길,127.141464586,35.842383584000004,18,18,18,18,18,18,18,18
월세,금암동,매봉2길,28.33333333,202071.0,18.66666667,1900.0,25.33333333,1998.6666670000002,전북 전주시 금암동 매봉2길,127.14045611700001,35.841961397,3,3,3,3,3,3,3,3
월세,금암동,매봉3길,33.0,202053.5,20.5,600.0,32.0,2017.5,전북 전주시 금암동 매봉3길,127.14183562,35.842197327,2,2,2,2,2,2,2,2
월세,금암동,매봉4길,17.0,202004.0,18.0,200.0,20.0,,전북 전주시 금암동 매봉4길,127.13991995,35.841929836999995,1,1,1,1,1,1,1,1
월세,금암동,매봉6길,44.4,202045.0,11.4,4300.0,29.6,2008.0,전북 전주시 금암동 매봉6길,127.140781944,35.841092517,5,5,5,5,5,5,5,5
월세,금암동,매봉7길,77.81,202006.0,15.0,2000.0,25.0,1997.0,전북 전주시 금암동 매봉7길,127.142193618,35.841018573,1,1,1,1,1,1,1,1
월세,금암동,매봉8길,55.51,202055.5,17.0,3250.0,17.5,2012.0,전북 전주시 금암동 매봉8길,127.14021404399999,35.84062367,2,2,2,2,2,2,2,2
월세,금암동,매봉로,45.0,202102.0,14.0,300.0,35.0,2010.0,전북 전주시 금암동 매봉로,127.142075725,35.839132824,1,1,1,1,1,1,1,1
월세,금암동,명륜1길,27.48,202026.4,17.4,220.0,36.0,2019.0,전북 전주시 금암동 명륜1길,127.12954966,35.840607856,5,5,5,5,5,5,5,5
월세,금암동,명륜2길,22.5,202102.5,5.0,1100.0,25.0,2009.0,전북 전주시 금암동 명륜2길,127.12844287899999,35.841331976,2,2,2,2,2,2,2,2
월세,금암동,모래내1길,45.32,202035.0,10.85714286,3357.142857,18.71428571,2013.142857,전북 전주시 금암동 모래내1길,127.13987967899999,35.834247517,7,7,7,7,7,7,7,7
월세,금암동,모래내2길,39.6,202103.0,22.0,500.0,17.0,2002.0,전북 전주시 금암동 모래내2길,127.140223705,35.834324812,1,1,1,1,1,1,1,1
월세,금암동,모래내3길,50.0,202012.0,20.0,300.0,20.0,1988.0,전북 전주시 금암동 모래내3길,127.141856638,35.833782037,1,1,1,1,1,1,1,1
월세,금암동,모래내5길,19.8,202011.0,2.0,200.0,14.0,1976.0,전북 전주시 금암동 모래내5길,127.143658035,35.834736519,1,1,1,1,1,1,1,1
월세,금암동,모래내8길,26.44,202009.0,5.0,100.0,20.0,1998.0,전북 전주시 금암동 모래내8길,127.14435240700001,35.835700706,1,1,1,1,1,1,1,1
월세,금암동,백제대로,28.0,202008.3333,16.0,983.3333332999997,33.5,2016.5,전북 전주시 금암동 백제대로,127.131381799,35.839743593,6,6,6,6,6,6,6,6
월세,금암동,삼송1길,23.255,202066.75,21.25,412.5,29.75,2012.875,전북 전주시 금암동 삼송1길,127.13281059200001,35.841477741999995,8,8,8,8,8,8,8,8
월세,금암동,삼송2길,24.0,202102.0,7.0,3000.0,23.0,2005.0,전북 전주시 금암동 삼송2길,127.134683556,35.842346089,1,1,1,1,1,1,1,1
월세,금암동,삼송3길,13.29,202057.0,18.5,250.0,30.0,2016.5,전북 전주시 금암동 삼송3길,127.135233414,35.84210187,2,2,2,2,2,2,2,2
월세,금암동,삼송5길,25.951999999999998,202064.8,26.4,360.0,31.0,2009.5,전북 전주시 금암동 삼송5길,127.13790060299999,35.842917881,5,5,5,5,5,5,5,5
월세,금암동,용산1길,76.375,202008.25,21.25,3257.5,24.5,2009.75,전북 전주시 금암동 용산1길,127.130428688,35.835247835,4,4,4,4,4,4,4,4
월세,금암동,용산3길,45.0,202008.0,12.0,3500.0,25.0,2012.0,전북 전주시 금암동 용산3길,127.13207936100001,35.83658824,1,1,1,1,1,1,1,1
월세,금암동,전주천동로,120.0,202011.0,11.0,13500.0,20.0,2015.0,전북 전주시 금암동 전주천동로,127.12949251299999,35.836018576,1,1,1,1,1,1,1,1
