전월세구분,dong,도로명,본번,부번,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,loc,x,y,번지,번지.1,번지.1.1,번지.1.1.1,번지
월세,덕진동1가,기린대로 465,1267.0,22.0,22.474761904761905,202102.38095238095,17.952380952380953,1142.857142857143,43.57142857142857,6.523809523809524,2021.0,전북 전주시 덕진동1가 기린대로 465,127.126022047,35.841422399,21,21,21,21,21
월세,만성동,만성동로 80,1375.0,1.0,41.25,202101.0,15.0,1000.0,60.0,5.0,2020.0,전북 전주시 만성동 만성동로 80,127.079599351,35.842917996,1,1,1,1,1
월세,만성동,만성북로 51-5,1345.0,8.0,39.9,202083.4,16.0,1600.0,66.0,4.4,2020.0,전북 전주시 만성동 만성북로 51-5,127.080469638,35.848816041999996,5,5,5,5,5
월세,반월동, ,1231.0,0.0,33.08,202008.0,29.0,1000.0,28.0,2.0,2016.0,전북 전주시 반월동  ,127.142447639,35.815571886,1,1,1,1,1
월세,우아동2가,건산로 286,866.0,6.0,39.53,202006.0,13.0,1000.0,45.0,8.0,2018.0,전북 전주시 우아동2가 건산로 286,127.168244941,35.835783067,1,1,1,1,1
월세,인후동2가,백제대로 752,1574.0,5.0,50.14,202004.5,20.5,1000.0,30.0,13.0,2005.0,전북 전주시 인후동2가 백제대로 752,127.15115231899999,35.845781376,2,2,2,2,2
월세,장동,기지로 77,1111.0,0.0,35.99923076923077,202045.0576923077,16.03846153846154,1534.6153846153845,46.5,22.615384615384606,2020.0,전북 전주시 장동 기지로 77,127.05918210799999,35.838825151,52,52,52,52,52
월세,중동, 70,774.0,2.0,30.49,202009.0,23.83333333333333,2250.0,29.5,5.166666666666667,2014.0,전북 전주시 중동  70,127.062201463,35.835483636999996,6,6,6,6,6
월세,팔복동1가,신복3길 6,132.0,5.0,81.0,202008.0,27.0,1000.0,30.0,2.0,2012.0,전북 전주시 팔복동1가 신복3길 6,127.108252075,35.853171566,1,1,1,1,1
전세,덕진동1가,기린대로 465,1267.0,22.0,21.44,202102.33333333328,13.666666666666664,8000.0,0.0,6.666666666666668,2021.0,전북 전주시 덕진동1가 기린대로 465,127.126022047,35.841422399,3,3,3,3,3
전세,덕진동1가,들사평5길 19,1267.0,32.0,47.04,202101.0,21.0,7350.0,0.0,6.0,2013.0,전북 전주시 덕진동1가 들사평5길 19,127.12503232899999,35.842008399,1,1,1,1,1
전세,만성동,만성동로 80,1375.0,1.0,38.734,202084.4,11.4,12800.0,0.0,5.8,2020.0,전북 전주시 만성동 만성동로 80,127.079599351,35.842917996,5,5,5,5,5
전세,인후동2가,백제대로 752,1574.0,5.0,67.81,202005.0,16.0,6000.0,0.0,8.0,2005.0,전북 전주시 인후동2가 백제대로 752,127.15115231899999,35.845781376,1,1,1,1,1
전세,장동,기지로 77,1111.0,0.0,52.47215827338136,202014.58992805754,15.690647482014384,15499.928057553954,0.0,23.41007194244604,2020.0,전북 전주시 장동 기지로 77,127.05918210799999,35.838825151,139,139,139,139,139
전세,중동, 70,774.0,2.0,30.49,202012.0,9.0,7500.0,0.0,4.0,2014.0,전북 전주시 중동  70,127.062201463,35.835483636999996,1,1,1,1,1
전세,팔복동1가,신복3길 6,132.0,5.0,81.0,202102.0,22.0,13000.0,0.0,4.0,2012.0,전북 전주시 팔복동1가 신복3길 6,127.108252075,35.853171566,1,1,1,1,1
