전월세구분,dong,도로명,시군구,번지,본번,부번,건물명,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,address
월세,금암동,건지1길 10-3,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,금암동,권삼득로 279,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,금암동,금암1길 5-2,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,금암동,금암1길 8,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,금암동,매봉16길 10,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,금암동,매봉5길 27-3,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,금암동,백제대로 556-15,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,금암동,삼송5길 13,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,금암동,삼송5길 9-4,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,덕진동1가,기린대로 458-4,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,덕진동1가,덕진연못1길 9,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,덕진동1가,들사평5길 19,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,덕진동1가,들사평5길 21,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,덕진동1가,명륜2길 7-2,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,덕진동1가,명륜3길 10-5,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,덕진동1가,명륜5길 15-4,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,덕진동1가,사평3길 6,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,덕진동1가,사평3길 8,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,만성동,만성서로 77,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,반월동,반월로 38-8,3,3,3,3,3,3,3,3,3,3,3,3,3
월세,송천동1가,솔내7길 10-4,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,송천동1가,솔내8길 40-3,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,송천동1가,송천2길 10,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,송천동1가,송천로 55,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,송천동1가,송천로 74,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,여의동2가, 25-4,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,여의동2가, 39,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,우아동1가,인교9길 21-8,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,우아동2가,석소1길 22,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,우아동2가,석소2길 14-2,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,우아동2가,석소2길 15,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,우아동2가,석소4길 5-6,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,우아동2가,아중5길 10-4,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,우아동2가,아중7길 8,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,우아동2가,진버들6길 12-1,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,우아동2가,진버들6길 30-2,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,가재미2길 12,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,동가재미1길 3-24,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,동가재미1길 6-18,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,무삼지3길 6,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,반태산1길 69,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,서가재미1길 12,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,서가재미1길 14,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,서가재미2길 14,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,안덕원로 280,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,인봉3길 42,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,인후6길 10,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,팽나무3길 11-1,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,인후동1가,팽나무4길 26-6,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,팽나무5길 16-1,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,한배미4길 18-3,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,한배미5길 20-1,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,인후동1가,한배미5길 23,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,인후동1가,한배미5길 7-4,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동2가,건지3길 10-33,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,인후동2가,백동1길 32,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,진북동,반촌6길 2,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,진북동,유연로 394,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,팔복동2가,기린대로 654,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,금암동,금암1길 6-3,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,금암동,금암1길 6-4,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,금암동,금암1길 7-1,4,4,4,4,4,4,4,4,4,4,4,4,4
전세,금암동,금암1길 8,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,금암동,금암5길 32,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,금암동,매봉1길 10,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,금암동,매봉5길 27-3,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,금암동,모래내6길 43,2,2,2,2,2,2,2,2,2,2,2,2,2
