전월세구분,dong,도로명,본번,부번,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,loc,x,y,번지
월세,금암동,건지1길 10-3,1592.0,23.0,163.9,202012.0,12.0,5000.0,40.0,2.0,1993.0,전북 전주시 금암동 건지1길 10-3,127.140184821,35.843950239,1
월세,금암동,권삼득로 279,665.0,14.0,72.36,202011.0,17.0,2000.0,40.0,3.0,1984.0,전북 전주시 금암동 권삼득로 279,127.13027615799999,35.841839669,1
월세,금암동,금암1길 5-2,728.0,144.0,17.37,202012.0,17.0,100.0,25.0,3.0,2001.0,전북 전주시 금암동 금암1길 5-2,127.133748036,35.840468759000004,1
월세,금암동,금암1길 8,728.0,395.0,27.47,202008.0,1.0,3000.0,22.0,3.0,2003.0,전북 전주시 금암동 금암1길 8,127.133441997,35.840243861,1
월세,금암동,매봉16길 10,1575.0,1.0,59.46,202007.0,6.0,500.0,25.0,3.0,1984.0,전북 전주시 금암동 매봉16길 10,127.140849665,35.838477265,1
월세,금암동,매봉5길 27-3,1599.0,9.0,29.04,202101.0,16.0,200.0,25.0,1.0,2002.0,전북 전주시 금암동 매봉5길 27-3,127.143601783,35.8423328,1
월세,금암동,백제대로 556-15,720.0,23.0,21.99,202012.0,20.0,5000.0,5.0,2.0,2013.0,전북 전주시 금암동 백제대로 556-15,127.131820841,35.839054206,1
월세,금암동,삼송5길 13,1545.0,15.0,77.79,202008.0,23.0,5000.0,5.0,3.0,1983.0,전북 전주시 금암동 삼송5길 13,127.136678551,35.843094789,1
월세,금암동,삼송5길 9-4,1545.0,18.0,14.175,202008.0,13.0,100.0,25.0,1.0,2001.0,전북 전주시 금암동 삼송5길 9-4,127.13629727700001,35.84272981,2
월세,덕진동1가,기린대로 458-4,1265.0,18.0,73.52,202007.0,29.0,2500.0,30.0,4.0,2003.0,전북 전주시 덕진동1가 기린대로 458-4,127.127730159,35.841515294000004,1
월세,덕진동1가,덕진연못1길 9,1280.0,14.0,15.5,202008.0,20.0,4000.0,5.0,4.0,2012.0,전북 전주시 덕진동1가 덕진연못1길 9,127.122259024,35.845948197,1
월세,덕진동1가,들사평5길 19,1267.0,32.0,18.76,202101.5,8.5,300.0,35.0,4.0,2013.0,전북 전주시 덕진동1가 들사평5길 19,127.12503232899999,35.842008399,2
월세,덕진동1가,들사평5길 21,1267.0,29.0,76.26,202101.0,9.0,4000.0,25.0,5.0,2012.0,전북 전주시 덕진동1가 들사평5길 21,127.12520457,35.841947269,1
월세,덕진동1가,명륜2길 7-2,1265.0,16.0,15.38,202011.0,21.0,300.0,33.0,4.0,2012.0,전북 전주시 덕진동1가 명륜2길 7-2,127.12804113799999,35.841485574000004,1
월세,덕진동1가,명륜3길 10-5,1264.0,4.0,18.92,202101.0,9.0,100.0,35.0,4.0,2012.0,전북 전주시 덕진동1가 명륜3길 10-5,127.12796676200001,35.842314809,1
월세,덕진동1가,명륜5길 15-4,1314.0,202.0,64.56,202009.0,19.0,500.0,40.0,3.0,1983.0,전북 전주시 덕진동1가 명륜5길 15-4,127.125665141,35.844317806999996,1
월세,덕진동1가,사평3길 6,1401.0,22.0,14.4,202102.0,28.0,200.0,31.0,2.0,2012.0,전북 전주시 덕진동1가 사평3길 6,127.12301719700001,35.843552337,1
월세,덕진동1가,사평3길 8,1401.0,38.0,17.84,202011.0,28.0,200.0,28.0,4.0,2012.0,전북 전주시 덕진동1가 사평3길 8,127.122900251,35.843640793,1
