건물명(상호명),건물위치,주택유형구분,세대수(객실수),건축연도
,전라북도 전주시 덕진구 고랑동 819-5,다세대주택(3세대),3,19920810
,전라북도 전주시 덕진구 금암동 1569-6,다세대주택(3세대),6,19891206
,전라북도 전주시 덕진구 금암동 1588-23,다세대주택(3세대),3,19890803
휴엔하임 주상복합 아파트,전라북도 전주시 덕진구 금암동 1639-1,"공동주택(아파트), 업무시설(오피스텔), 근린생활시설",30,20161128
,전라북도 전주시 덕진구 금암동 525-83,다세대주택,4,19891121
덕진동1가 1267-32 공동주택,전라북도 전주시 덕진구 덕진동1가 1267-32,공동주택,2,20130131
,전라북도 전주시 덕진구 덕진동1가 1360-18,다세대주택,2,19891226
세움 펠리피아,전라북도 전주시 덕진구 반월동 1231,"아파트,업무시설,근린생활시설",28,20160211
,전라북도 전주시 덕진구 송천동1가 367,다세대주택,4,19881025
,전라북도 전주시 덕진구 여의동 681-1,다세대주택(2세대),2,19911028
,전라북도 전주시 덕진구 여의동2가 571-46,다세대주택,1,19880901
,전라북도 전주시 덕진구 여의동2가 684-31,공동주택,4,20111230
,전라북도 전주시 덕진구 우아동3가 256-1,다세대주택(3세대),3,19900416
,전라북도 전주시 덕진구 우아동3가 744-21,다세대주택,4,19871229
,전라북도 전주시 덕진구 우아동3가 755-14,"다세대주택(4세대), 창고, 화장실",3,19910105
,전라북도 전주시 덕진구 인후동1가 600-9,다가구주택,0,19911223
,전라북도 전주시 덕진구 인후동1가 752-22,다가구주택,0,19910820
,전라북도 전주시 덕진구 인후동2가 45-17,다세대주택,11,19891221
,전라북도 전주시 덕진구 팔복동1가 145-10,다세대주택,4,19880914
,전라북도 전주시 덕진구 팔복동2가 235-6,다세대주택,2,19880914
,전라북도 전주시 덕진구 팔복동2가 243-11,다세대주택,4,19880409
,전라북도 전주시 덕진구 팔복동2가 245-14,다세대주택(4세대),4,19891202
,전라북도 전주시 덕진구 팔복동2가 246-3,다세대주택(5세대),5,19791110
,전라북도 전주시 완산구 교동 65-8,다세대주택,0,19890805
,전라북도 전주시 완산구 다가동2가 91-1,"다세대주택, 근린생활시설(사무실)",6,19871006
,전라북도 전주시 완산구 다가동3가 127-3,"주택, 소매점",7,19941001
,전라북도 전주시 완산구 다가동4가 39-2,"근린생활시설, 주택",4,19960828
,전라북도 전주시 완산구 동완산동 263-1,"다세대주택, 창고",10,19890919
,전라북도 전주시 완산구 동완산동 304-19,"다세대주택, 변소, 창고",4,19820518
,전라북도 전주시 완산구 삼천동1가 562-7,다세대주택(3세대),3,19891120
,전라북도 전주시 완산구 삼천동1가 563-12,"차고, 다세대주택",4,19890522
,전라북도 전주시 완산구 삼천동1가 576-6,다세대주택,8,19890817
,전라북도 전주시 완산구 삼천동1가 577-11,다세대주택,1,19901107
,전라북도 전주시 완산구 삼천동1가 580-4,다세대주택,1,19891005
,전라북도 전주시 완산구 삼천동1가 606-4,"근린생활시설, 단독주택(4가구)",4,19941221
,전라북도 전주시 완산구 삼천동1가 606-7,"근린생활시설, 단독주택(5가구)",5,19960605
,전라북도 전주시 완산구 서서학동 969-4,다세대주택,4,19881124
서신노블레스2단지,전라북도 전주시 완산구 서신동 898-3,"공동주택(도시형생활주택(원룸형)),업무시설",77,20131224
서신노블레스1단지,전라북도 전주시 완산구 서신동 898-5,"공동주택(도시형생활주택(원룸형)),업무시설",54,20131224
,전라북도 전주시 완산구 서완산동1가 525-4,다세대주택,6,19901107
,전라북도 전주시 완산구 전동3가 80-2,다세대주택(4세대),4,19901106
,전라북도 전주시 완산구 중화산동2가 556-7,다세대주택,3,19901015
,전라북도 전주시 완산구 풍남동3가 29-8,다세대주택,1,19891105
,전라북도 전주시 완산구 효자동1가 157-55,다세대주택,3,19811022
,전라북도 전주시 완산구 효자동1가 201-40,다세대주택(3세대),3,19901128
,전라북도 전주시 완산구 효자동1가 201-44,다세대주택,2,19900111
,전라북도 전주시 완산구 효자동1가 24-15,다세대주택,6,19870806
,전라북도 전주시 완산구 효자동1가 322-8,다세대주택,4,19890909
,전라북도 전주시 완산구 효자동1가 326-4,다세대주택(2세대),2,19901023
,전라북도 전주시 완산구 효자동1가 557-11,다세대주택,4,19890721
,전라북도 전주시 완산구 효자동1가 557-3,다세대주택,4,19900306
,전라북도 전주시 완산구 효자동1가 561-11,다세대주택,2,19901008
,전라북도 전주시 완산구 효자동1가 563-2,다세대주택,2,19881104
,전라북도 전주시 완산구 효자동1가 565-1,다세대주택,4,19891227
,전라북도 전주시 완산구 효자동1가 565-9,다세대주택,2,19900718
,전라북도 전주시 완산구 효자동1가 566,다세대주택,0,19871111
,전라북도 전주시 완산구 효자동1가 566-1,다세대주택,2,19871221
,전라북도 전주시 완산구 효자동1가 566-8,다세대주택,2,19900830
,전라북도 전주시 완산구 효자동1가 568,다세대주택,1,19881224
,전라북도 전주시 완산구 효자동1가 568-10,다세대주택,2,19880707
,전라북도 전주시 완산구 효자동1가 568-12,다세대주택,2,19871230
,전라북도 전주시 완산구 효자동1가 570-12,다세대주택,2,19880614
,전라북도 전주시 완산구 효자동1가 571-3,다세대주택,2,19880629
,전라북도 전주시 완산구 효자동1가 571-5,다세대주택,2,19890321
,전라북도 전주시 완산구 효자동1가 577-10,다세대주택(3세대),3,19901108
,전라북도 전주시 완산구 효자동1가 577-11,다세대주택(3세대),3,19901108
,전라북도 전주시 완산구 효자동1가 577-13,다세대주택(2세대),2,19900912
,전라북도 전주시 완산구 효자동1가 578-9,다세대주택,3,19891212
,전라북도 전주시 완산구 효자동1가 597-9,다세대주택,8,19900509
,전라북도 전주시 완산구 효자동1가 625-15,다세대주택(5가구),5,19910525
,전라북도 전주시 완산구 효자동1가 627-2,다세대주택,4,19900625
,전라북도 전주시 완산구 효자동1가 628-6,다세대주택,4,19900927
,전라북도 전주시 완산구 효자동1가 628-7,다세대주택,4,19901112
,전라북도 전주시 완산구 효자동1가 628-8,다세대주택,4,19900628
,전라북도 전주시 완산구 효자동1가 629-3,다세대주택,4,19901115
,전라북도 전주시 완산구 효자동1가 630-3,다세대주택,4,19891011
서부신시가지 코아루 해피트리,전라북도 전주시 완산구 효자동3가 1540-1,"제1,2종근린생활시설,업무시설(오피스텔)",34,20181121
,전라북도 전주시 덕진구 고랑동 1142-9,단독주택,8,20140513
,전라북도 전주시 덕진구 고랑동 808-10,단독주택,15,20130228
,전라북도 전주시 덕진구 고랑동 808-20,단독주택,9,20130201
,전라북도 전주시 덕진구 금암동 102-93,단독주택,7,20100430
,전라북도 전주시 덕진구 금암동 102-95,단독주택,9,20190117
,전라북도 전주시 덕진구 금암동 105-17,단독주택(다가구주택),15,20190830
,전라북도 전주시 덕진구 금암동 105-392,단독주택,10,19881121
,전라북도 전주시 덕진구 금암동 105-394,단독주택,7,20061002
,전라북도 전주시 덕진구 금암동 111,다세대주택(3세대),3,19891113
,전라북도 전주시 덕진구 금암동 115-15,"다세대주택, 근린생활시설",0,19910213
,전라북도 전주시 덕진구 금암동 115-2,단독주택,2,20000711
,전라북도 전주시 덕진구 금암동 116-22,단독주택(다가구),2,20151208
,전라북도 전주시 덕진구 금암동 121-24,단독주택,11,20101208
주택,전라북도 전주시 덕진구 금암동 121-44,단독주택,3,20031022
,전라북도 전주시 덕진구 금암동 121-52,단독주택(3가구용),3,19901221
,전라북도 전주시 덕진구 금암동 121-71,단독주택(3가구용),3,19901221
,전라북도 전주시 덕진구 금암동 122-13,단독주택(5가구),5,19951106
,전라북도 전주시 덕진구 금암동 127-15,단독주택(4가구),4,19980605
,전라북도 전주시 덕진구 금암동 130-29,"근린생활시설, 주택",3,19950111
,전라북도 전주시 덕진구 금암동 1312-41,단독주택(다가구주택),9,20020902
,전라북도 전주시 덕진구 금암동 138-2,단독주택,5,20120501
,전라북도 전주시 덕진구 금암동 141,단독주택,17,20061025
,전라북도 전주시 덕진구 금암동 142-2,단독주택(4가구),4,19930917
,전라북도 전주시 덕진구 금암동 143-1,다세대주택(3세대),3,19891113
,전라북도 전주시 덕진구 금암동 149-23,다세대주택,1,19881005
,전라북도 전주시 덕진구 금암동 1543-1,단독주택,12,20140923
,전라북도 전주시 덕진구 금암동 1543-2,"단독주택(다가구주택), 근린생활시설",19,20020821
,전라북도 전주시 덕진구 금암동 1543-4,단독주택,11,20110624
,전라북도 전주시 덕진구 금암동 1543-5,단독주택,11,20120904
,전라북도 전주시 덕진구 금암동 1543-6,단독주택,11,20120905
,전라북도 전주시 덕진구 금암동 1543-7,단독주택,14,20181002
,전라북도 전주시 덕진구 금암동 1543-8,"단독주택, 제1,2종근린생활시설",11,20051230
,전라북도 전주시 덕진구 금암동 1544-15,단독주택,10,20110926
,전라북도 전주시 덕진구 금암동 1544-16,단독주택,10,20070215
,전라북도 전주시 덕진구 금암동 1544-17,"단독주택(다가구주택), 제2종근린생활시설",19,20020220
,전라북도 전주시 덕진구 금암동 1544-19,"다가구주택, 제2종근린생활시설",19,20010711
