addr,lat,long,house_amount,park,river,cctv,pol,conv,bus,bus_stop,pharmacy,mono_avg_deposit_month,mono_avg_deposit_all,mono_avg_fee_month,mono_total_count_month,mono_total_count_all,row_avg_deposit_month,row_avg_deposit_all,row_avg_fee_month,row_total_count_month,row_total_count_all,office_avg_deposit_month,office_avg_deposit_all,office_avg_fee_month,office_total_count_month,office_total_count_all
전라북도 전주시 덕진구 여의동2가,127.08,35.88,5.0,0.0,1.0,10.0,0.0,1.0,16.0,7.0,8.0,1100.3333333333333,3971.5714285714284,20.333333333333332,4.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 인후동2가,127.14,35.84,343.0,0.0,1.0,57.0,0.0,8.0,27.0,16.0,54.0,1472.9529411811766,5502.859649026316,31.305882353411764,86.0,115.0,1816.8333333333333,5416.0,24.333333333333332,7.0,9.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 태평동,127.13,35.83,45.0,0.0,2.0,42.0,1.0,4.0,28.0,21.0,43.0,1512.935484,6416.708333458333,27.096774192580643,32.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 덕진동2가,127.13,35.84,196.0,0.0,2.0,44.0,0.0,14.0,141.0,15.0,54.0,1855.8538460992309,5590.394230865385,31.376923076076924,131.0,105.0,1645.5454545454545,4000.1,29.636363636363637,12.0,11.0,1142.904761904762,7837.75,43.61904761904762,22.0,5.0
전라북도 전주시 덕진구 덕진동1가,127.12,35.84,112.0,3.0,3.0,29.0,0.0,12.0,47.0,8.0,45.0,1584.1585365134147,6594.1372549215685,34.25609756243902,83.0,52.0,200.5,5400.076923076923,30.0,3.0,14.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 여의동2가,127.08,35.87,55.0,0.0,0.0,19.0,1.0,2.0,5.0,12.0,8.0,3303.2580645161293,7156.931034586207,30.322580646451613,32.0,30.0,856.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 송천동2가,127.12,35.86,141.0,0.0,1.0,39.0,2.0,11.0,84.0,11.0,25.0,2877.5769230423075,7276.328947223683,30.88461538474359,79.0,77.0,750.25,4500.166666666667,30.0,5.0,7.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 우아동3가,127.16,35.85,126.0,0.0,1.0,28.0,1.0,6.0,78.0,10.0,22.0,2645.2619047142857,6217.434782652174,26.119047618809525,43.0,24.0,0.0,14580.5,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 인후동2가,127.15,35.84,164.0,0.0,0.0,54.0,1.0,1.0,124.0,24.0,59.0,1858.1046512686048,6126.942307788461,27.011627907906977,87.0,53.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 팔복동2가,127.11,35.86,21.0,0.0,1.0,16.0,1.0,6.0,18.0,4.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 팔복동2가,127.1,35.85,41.0,1.0,2.0,7.0,0.0,4.0,9.0,6.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 팔복동2가,127.11,35.85,190.0,2.0,2.0,29.0,1.0,7.0,51.0,7.0,15.0,3208.9829059675217,6344.5545455,29.341880339829057,118.0,111.0,501.0,2833.5,31.0,2.0,7.0,1001.0,13001.0,31.0,2.0,2.0
전라북도 전주시 완산구 중화산동1가,127.14,35.81,43.0,2.0,1.0,33.0,0.0,2.0,120.0,6.0,64.0,565.1,3500.25,26.6,11.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 태평동,127.14,35.82,34.0,2.0,2.0,37.0,1.0,9.0,103.0,18.0,72.0,812.625,5100.1,32.25,9.0,11.0,0.0,0.0,0.0,1.0,1.0,1001.0,2501.0,29.0,2.0,2.0
