전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
월세,경원동1가,전동성당길,1,1,1,1,1,1,1,1,1,1
월세,경원동1가,전라감영5길,1,1,1,1,1,1,1,1,1,1
월세,경원동2가,동문길,1,1,1,1,1,1,1,1,1,1
월세,경원동3가,현무1길,1,1,1,1,1,1,1,1,1,1
월세,경원동3가,현무3길,1,1,1,1,1,1,1,1,0,1
월세,고사동,전주객사2길,2,2,2,2,2,2,2,2,2,2
월세,교동,오목대길,1,1,1,1,1,1,1,1,1,1
월세,남노송동,관선1길,2,2,2,2,2,2,2,2,1,2
월세,남노송동,관선2길,2,2,2,2,2,2,2,2,2,2
월세,남노송동,관선3길,2,2,2,2,2,2,2,2,1,2
월세,남노송동,관선5길,1,1,1,1,1,1,1,1,1,1
월세,남노송동,마당재1길,2,2,2,2,2,2,2,2,2,2
월세,남노송동,마당재2길,1,1,1,1,1,1,1,1,1,1
월세,다가동1가,전라감영2길,1,1,1,1,1,1,1,1,1,1
월세,다가동3가,전주객사1길,1,1,1,1,1,1,1,1,1,1
월세,다가동4가,전주객사1길,1,1,1,1,1,1,1,1,1,1
월세,대성동,객원길,2,2,2,2,2,2,2,2,2,2
월세,동서학동,서학로,2,2,2,2,2,2,2,2,2,2
월세,동서학동,장승배기로,3,3,3,3,3,3,3,3,3,3
월세,동서학동,전주천서로,1,1,1,1,1,1,1,1,1,1
월세,동서학동,학봉1길,1,1,1,1,1,1,1,1,1,1
월세,동서학동,황학1길,1,1,1,1,1,1,1,1,1,1
월세,동서학동,황학4길,1,1,1,1,1,1,1,1,1,1
월세,동완산동,곤지산4길,1,1,1,1,1,1,1,1,0,1
월세,동완산동,완산6길,1,1,1,1,1,1,1,1,0,1
월세,동완산동,완산길,3,3,3,3,3,3,3,3,3,3
월세,삼천동1가,거마남로,7,7,7,7,7,7,7,7,7,7
월세,삼천동1가,거마산1길,1,1,1,1,1,1,1,1,1,1
월세,삼천동1가,거마산2길,5,5,5,5,5,5,5,5,5,5
월세,삼천동1가,거마산로,5,5,5,5,5,5,5,5,5,5
