전월세구분,dong,도로명,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,loc,x,y,번지,번지.1,번지.1.1,번지.1.1.1,번지
월세,경원동1가,전동성당길,59.86,202004.0,21.0,2000.0,38.0,2008.0,전북 전주시 경원동1가 전동성당길,127.148529359,35.818372913000005,1,1,1,1,1
월세,경원동1가,전라감영5길,48.92,202103.0,29.0,3000.0,20.0,1940.0,전북 전주시 경원동1가 전라감영5길,127.146736191,35.816515344,1,1,1,1,1
월세,경원동2가,동문길,35.0,202102.0,24.0,6000.0,10.0,2010.0,전북 전주시 경원동2가 동문길,127.147800055,35.817682728,1,1,1,1,1
월세,경원동3가,현무1길,100.0,202101.0,22.0,14000.0,25.0,2015.0,전북 전주시 경원동3가 현무1길,127.14857609,35.819624074000004,1,1,1,1,1
월세,경원동3가,현무3길,57.0,202012.0,31.0,1500.0,20.0,,전북 전주시 경원동3가 현무3길,127.148921586,35.820521574000004,1,1,1,1,1
월세,고사동,전주객사2길,22.0,202008.0,16.5,200.0,32.5,2001.0,전북 전주시 고사동 전주객사2길,127.141305121,35.817606371,2,2,2,2,2
월세,교동,오목대길,50.4,202103.0,2.0,2000.0,20.0,1979.0,전북 전주시 교동 오목대길,127.154953516,35.813709756,1,1,1,1,1
월세,남노송동,관선1길,51.5,202055.0,17.5,2000.0,37.5,2018.0,전북 전주시 남노송동 관선1길,127.154583621,35.819657409,2,2,2,2,2
월세,남노송동,관선2길,21.55,202056.5,9.5,200.0,27.0,2014.0,전북 전주시 남노송동 관선2길,127.154597812,35.819786674,2,2,2,2,2
월세,남노송동,관선3길,88.28999999999998,202054.5,17.5,550.0,12.5,1985.0,전북 전주시 남노송동 관선3길,127.15446813,35.820397593,2,2,2,2,2
월세,남노송동,관선5길,76.68,202006.0,27.0,5000.0,20.0,1974.0,전북 전주시 남노송동 관선5길,127.15717191899999,35.821924685,1,1,1,1,1
월세,남노송동,마당재1길,41.5,202011.5,9.5,3900.0,17.5,2016.0,전북 전주시 남노송동 마당재1길,127.16025032600001,35.819544121999996,2,2,2,2,2
월세,남노송동,마당재2길,30.0,202005.0,14.0,300.0,30.0,2016.0,전북 전주시 남노송동 마당재2길,127.160730412,35.820976045,1,1,1,1,1
월세,다가동1가,전라감영2길,25.0,202011.0,3.0,200.0,35.0,2011.0,전북 전주시 다가동1가 전라감영2길,127.142351144,35.815027567,1,1,1,1,1
월세,다가동3가,전주객사1길,30.0,202004.0,11.0,300.0,35.0,2002.0,전북 전주시 다가동3가 전주객사1길,127.140470217,35.817099055999996,1,1,1,1,1
월세,다가동4가,전주객사1길,66.0,202010.0,25.0,300.0,25.0,1994.0,전북 전주시 다가동4가 전주객사1길,127.138150411,35.820662003,1,1,1,1,1
월세,대성동,객원길,67.45,202102.5,11.5,1000.0,40.0,1981.0,전북 전주시 대성동 객원길,127.175506664,35.798614533,2,2,2,2,2
월세,동서학동,서학로,24.1,202102.5,10.5,750.0,32.5,1993.5,전북 전주시 동서학동 서학로,127.161948564,35.809085707,2,2,2,2,2
