전월세구분,dong,도로명,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,address
월세,서노송동,현무1길 41,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,서신동,전룡6길 11,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,효자동2가,우전로 260,6,6,6,6,6,6,6,6,6,6,6,6,6
월세,효자동2가,홍산북로 17-10,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,효자동3가,서원로 141,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,효자동3가,우전로 332,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,효자동3가,홍산로 270,23,23,23,23,23,23,23,23,23,23,23,23,23
월세,효자동3가,홍산로 276,5,5,5,5,5,5,5,5,5,5,5,5,5
월세,효자동3가,효자로 161,8,8,8,8,8,8,8,8,8,8,8,8,8
월세,효자동3가,효자로 194,7,7,7,7,7,7,7,7,7,7,7,7,7
전세,고사동,전주객사5길 47,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,서신동,새터로 119,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,서신동,전룡6길 11,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,서신동,전룡6길 13,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,효자동2가,우전로 260,24,24,24,24,24,24,24,24,24,24,24,24,24
전세,효자동2가,홍산북로 17-10,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,효자동3가,서원로 141,8,8,8,8,8,8,8,8,8,8,8,8,8
전세,효자동3가,우전로 332,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,효자동3가,홍산2길 10,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,효자동3가,홍산로 270,26,26,26,26,26,26,26,26,26,26,26,26,26
전세,효자동3가,효자로 161,3,3,3,3,3,3,3,3,3,3,3,3,3
전세,효자동3가,효자로 194,12,12,12,12,12,12,12,12,12,12,12,12,12
