전월세구분,dong,도로명,시군구,번지,본번,부번,건물명,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,address
월세,삼천동1가,거마서로 56,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,삼천동1가,난전들로 245-37,3,3,3,3,3,3,3,3,3,3,3,3,3
월세,삼천동1가,안행3길 9-3,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,삼천동1가,안행3길 9-7,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,삼천동2가,계룡산길 71,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,서서학동,장승배기8길 8,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,서신동,안터4길 10,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,서신동,안터4길 7,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,중인동,중인1길 136-12,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,중인동,중인1길 136-3,4,4,4,4,4,4,4,4,4,4,4,4,4
월세,중인동,중인2길 16-4,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,중화산동1가,강당4길 6,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,중화산동1가,선너머2길 26-21,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,중화산동1가,선너머3길 14-7,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,중화산동1가,선너머4길 19-1,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,중화산동1가,선너머4길 9-16,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,중화산동2가,메너머1길 26-6,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,중화산동2가,메너머2길 25-12,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,중화산동2가,선너머2길 26-5,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,중화산동2가,신촌2길 8-20,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,중화산동2가,영선로 14-14,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,중화산동2가,영선로 14-19,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,중화산동2가,인정4길 16-4,1,1,1,1,1,1,1,1,1,1,1,1,1
월세,중화산동2가,인정4길 18,2,2,2,2,2,2,2,2,2,2,2,2,2
월세,중화산동2가,중산5길 4-2,1,1,1,1,1,1,1,1,1,1,1,1,1
