순번,구분,업체명,주소,전화번호,개업일시, 면적 
1,대규모점포,롯데백화점 전주점,전주시 완산구 온고을로 2,063-289-3611,2004-05-21,28179
2,대규모점포,E-마트,전주시 완산구 당산로 111,063-259-1001,1998-12-03,6571
3,대규모점포,홈플러스 완산점,전주시 완산구 기린대로 170,063-288-4955,2005-08-05,13121
4,대규모점포,홈플러스 전주점,전주시 덕진구 백제대로 771,063-249-8124,2006-11-17,8471
5,대규모점포,홈플러스 효자점,전주시 완산구 용머리로 31,063-281-8120,2011-07-26,22657
6,대규모점포,롯데마트 전주점,전주시 완산구 우전로 240,063-249-2511,2008-11-19,10430
7,대규모점포,롯데마트 송천점,전주시 덕진구 송천중앙로 82,063-219-2500,2008-12-17,10387
8,대규모점포,농협하나로마트,전주시 덕진구 비석날로 20,063-210-4510,1999-12-18,6115
9,대규모점포,NC WAVE 객사점,전주시 완산구 전주객사5길 35,063-710-5030,2000-10-12,7721
10,대규모점포,세이브존,전주시 완산구 팔달로 262-6,063-281-9007,2011-01-26,21317
11,대규모점포,노벨리나,전주시 완산구 전주객사4길 19,063-232-8861,2010-10-26,5449
12,대규모점포,mall of 효자,전주시 완산구 용머리로 45,063-221-8162,2014-07-23,12433
13,대규모점포,남부시장,전주시 완산구 풍남문1길 19-3,,1988-03-08,
14,대규모점포,모래내시장,전주시 덕진구 모래내4길 8-8,,2005-12-02,
15,대규모점포,신중앙시장,전주시 완산구 태평5길 33,,2012-01-19,
16,대규모점포,중앙상가시장,전주시 완산구 태평3길 70,,1999-02-12,
17,대규모점포,서부시장,전주시 완산구 효동2길 18,,1982-10-26,
18,대규모점포,동부시장,전주시 완산구 충경로 109,,2005-12-19,
19,준대규모점포,이마트에브리데이(평화동점),전주시 완산구 평화로 131,063-236-1200,2006-09-01,1089
20,준대규모점포,홈플러스 익스프레스,전주시 완산구 온고을로 62,063-251-8543,2003-01-01,165
21,준대규모점포,롯데슈퍼 (삼천점),전주시 완산구 용리로 46,063-223-1555,2007-05-01,1796
22,준대규모점포,롯데슈퍼 (인후점),전주시 덕진구 건산로 255,063-247-5601,2008-07-01,865
23,준대규모점포,롯데슈퍼 (효자점),전주시 완산구 효동2길 8,063-224-4545,2009-06-01,935
24,준대규모점포,롯데슈퍼 (송천점),전주시 완산구 솔내로 121,063-278-5601,2010-01-01,551
25,준대규모점포,롯데슈터 (신성점),전주시 완산구 소대배기로 34,063-226-5616,2011-11-01,822
26,준대규모점포,롯데슈퍼 (평화점),전주시 완산구 평화18길 22,063-237-5667,2012-07-01,983
27,준대규모점포,롯데슈퍼 (효자2점),전주시 완산구 호암로 90,063-237-5615,2015-01-01,637
28,준대규모점포,롯데마켓999(전주대점),전주시 완산구 백마산길 9,063-237-5278,2015-01-01,259
29,준대규모점포,롯데슈퍼 (전북대점),전주시 덕진구 백제대로 572,063-276-7845,2015-12-01,433
30,준대규모점포,롯데슈퍼 (서신),전주시 완산구 새터로 52-12,063-906-9963,2015-12-01,188
31,준대규모점포,롯데슈퍼 (전북도청),전주시 완산구 홍산1길 14,063-222-6563,2016-02-01,296
32,준대규모점포,롯데마켓999 (덕진),전주시 덕진구 기린대로 477,063-252-2654,2016-04-01,216
33,준대규모점포,롯데마켓999(전주서부),전주시 완산구 마전들로 33,063-255-8008,2016-11-01,160
34,준대규모점포,롯데슈퍼 (어은점),전주시 완산구 어은로 22(뿌리마트),063-237-0035,2017-08-01,403
35,준대규모점포,GS슈퍼 (서곡점),전주시 완산구 서곡로 53-12,063-255-0017,2010-04-01,951
36,준대규모점포,GS슈퍼 (인후점),전주시 덕진구 팽나무4길 7,063-242-6211,2010-07-01,753
37,준대규모점포,GS슈퍼 (동산점),전주시 덕진구 쪽구름로 52,063-717-5007,2010-11-01,996
38,준대규모점포,GS슈퍼 (호성점),전주시 덕진구 호성3길 16,063-715-5081,2011-06-01,890
39,준대규모점포,GS슈퍼 (후곡점),전주시 완산구 후곡길 6-11,063-715-5072,2011-08-01,936
40,준대규모점포,GS슈퍼 (만성점),전주시 덕진구 만성동로 47,063-212-8604,2019-06-01,209
41,준대규모점포,하나로마트 (효자점),전주시 완산구 우전로 284,063-229-4580,2017-09-01,1325
42,준대규모점포,노브랜드 (삼천점),전주시 완산구 용리로 20,063-225-5620,2019-05-01,413
43,준대규모점포,노브랜드 (송천점),전주시 덕진구 사근1길 20,063-253-8884,2019-05-01,310
